Grata Link,Company Id,Domain,Name,Description,LinkedIn,Revenue Estimate,Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Headquarters,Mailing Address,Year Founded,Ownership,Owner,Investors,Ultimate Owner,Funding Stage,Last Funding Amount,Last Funding Date,Total Funding Amount,Total Funding Rounds,Business Model,NAICS 2,NAICS 3,NAICS 4,NAICS 5,NAICS 6,Grata Industries,Primary Email,Primary Phone,Notes,Executive First Name,Executive Last Name,Executive Title,Executive Email,Executive Email Deliverability,Executive Linkedin,Key People,Status,Priority,Owner.1,Last Touch Date,PFL Status,Last Pipeline Decline Date,Rank
https://search.grata.com/search?c=22PK5M96,22PK5M96,apricorn.com,Apricorn,"Apricorn, Inc. is a leader in the design and manufacture of PC storage products, utilities and accessories. Established in 1983 by entrepreneurs Paul Brown and Mike Gordon, Apricorn quickly became an industry leader supplying a family of Apple interface products. In 1989, Apricorn became the world's first provider of third-party memory modules for portable computers. Since then, Apricorn has expanded its product line to include a family of portable computing peripheral solutions. Apricorn's ISO9000:2000 compliant production process leverages a best of breed approach to manufacturing.",https://www.linkedin.com/company/apricorn/,9000000,45.0,32.0,0,3.23%,0,6.67%,"Poway, CA","12191 Kirkham Road, Poway, CA 92064, USA",1983.0,Bootstrapped,,,,No Funding,,,,0.0,Retailer,33 Manufacturing,334 Computer and Electronic Product Manufacturing,3341 Computer and Peripheral Equipment Manufacturing,33411 Computer and Peripheral Equipment Manufacturing,334111 Electronic Computer Manufacturing,,,1-858-513-2020,,Paul,Brown,President,pbrown@apricorn.com,Deliverable,https://www.linkedin.com/in/paul-brown-138209b,"Paul Brown (President), Jon Fielding (Managing Director)",,,,,,,
https://search.grata.com/search?c=VA6YXVB5,VA6YXVB5,archera.ai,Archera,"Archera actively manages and de-risks your cloud management through building forecasts, prioritizing right-sizing & modernization opportunities, executing optimal commitment plans and protecting your cloud commitments with guaranteed buybacks.",https://www.linkedin.com/company/archera-ai/,4000000,31.0,32.0,28.00%,52.38%,68.42%,100.00%,"Bellevue, WA","98004, Bellevue, WA, USA",2019.0,Investor Backed,,"Amplify Partners,Leslie Ventures,Pioneer Square Labs,Pioneer Square Labs Ventures,Ridge Ventures,Stephen Garden",,Late Stage Funding,12100000.0,2024-06-04,22430000.0,3.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,sales@reserved.ai,1-301-825-5007,,Aran,Khanna,"Co-Founder, Chief Executive Officer & Board Member",aran@reserved.ai,Deliverable,https://www.linkedin.com/in/aran-khanna/,"Aran Khanna (Co-Founder, Chief Executive Officer & Board Member), Nikhil Khanna (CTO and Co-founder)",,,Max Mandell,2024-07-13T22:48:19.000+0000,,2021-11-11,
https://search.grata.com/search?c=GVRNQUB7,GVRNQUB7,ardentprivacy.ai,Ardent Privacy,"Ardent Privacy is “Data Minimization” company in Enterprise Data Privacy space based in National Capital region. Enterprises are losing more data in breaches due to lack of data hygiene because they do not know their data footprint and there is lack of enterprise wide data minimization and elimination strategy, tools or processes. This is common theme across enterprises since we are not looking at data hygiene. Regulations like GDPR in Europe  and now in US CCPA are mandating ''Right to know'' ''Right to be forgotten '' for consumers and their personal data. Ardent Privacy product automates this process in enterprises to minimize their privacy risk and ultimately business risk.",https://www.linkedin.com/company/ardent-privacy/,"$<1,000,000",16.0,17.0,6.25%,6.25%,13.33%,30.77%,"Catonsville, MD","5520 Research Park Drive, Catonsville, MD 21228, USA",2016.0,Investor Backed,,,,Early Stage Funding,,,,0.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,advisor@ardentsec.com,1-833-888-7853,,Sameer,Ahirrao,Founder,sameer@ardentprivacy.ai,Deliverable,https://www.linkedin.com/in/sameerahi,Sameer Ahirrao (Founder),,,Carson Bliss,2024-07-13T22:52:31.000+0000,,2022-12-27,5.0
https://search.grata.com/search?c=ZLWKWE8E,ZLWKWE8E,armorcode.com,ArmorCode Inc.,"Agile DevOps, cloud, microservices, and open source have all dramatically accelerated application delivery and complexity. Today’s security teams depend on a collection of point products that each represent an overlapping piece of the puzzle and lead to siloed manual processes within security teams and across the organization. This leaves them struggling to gain the visibility, insight, and process scale they need to identify and protect their ever-changing and growing risk surface. The AI-powered ArmorCode ASPM Platform is the solution to this challenge. The ArmorCode ASPM Platform powers a new model for reducing risk and complexity.",https://www.linkedin.com/company/armorcode/,19000000,159.0,161.0,4.55%,13.38%,25.78%,67.71%,"Palo Alto, CA","94303, Palo Alto, CA, USA",2020.0,Investor Backed,,"Andreas Kuehlmann,Ballistic Ventures,Cervin Ventures,Highland Capital Partners,John Donovan,John M. Jack,NGP Capital,Oliver Friedrichs,Prithvi Rai,Sierra Ventures,Tau Ventures,Tom Reilly,Z5 Capital",,Late Stage Funding,40000000.0,2023-12-04,67500000.0,5.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,,,,Nikhil,Gupta,CEO and Founder,nikhilgupta@armorcode.com,Deliverable,https://www.linkedin.com/in/nikhilgupta/,"Nikhil Gupta (CEO and Founder), Anant Misra (Co-Founder, Chief Technology Officer)",,,Carson Bliss,2024-07-13T22:52:31.000+0000,,2022-09-05,7.0
https://search.grata.com/search?c=MFXQTNHT,MFXQTNHT,artifex.com,Artifex Software,"Artifex Software specializes in providing powerful PDF, document management, and print products with multi-platform, highly versatile, and customizable solutions. Their typical customers are OEM partners representing various industries such as technology, printers, cloud solutions, mobile devices, and embedded electronic devices, among others. Artifex differentiates itself by emphasizing its deep product expertise, exceptional customer service, and its long-term commitment to building strong relationships with its customers. The company positions itself as a trusted creator, partner, and provider of core technologies for document handling and management across a broad spectrum of industries.",https://www.linkedin.com/company/artifexsoftware/,,19.0,19.0,0,5.56%,0,-9.52%,"San Francisco, CA","39 Mesa St, San Francisco, California 94129, US",1993.0,Private Subsidiary,ePapyrus,ePapyrus,ePapyrus,,,,,0.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,,,,Jeong,Kim,President,,Unknown,https://www.linkedin.com/in/jeong-hee-kim-a2667aa3,Jeong Hee Kim (President),,,,,,,
https://search.grata.com/search?c=HRCM272K,HRCM272K,axiom.co,Axiom,"Axiom is a company that focuses on data management in the technology sector. The company offers a serverless log management solution that enables the ingestion of large volumes of data with high efficiency, and provides tools for querying, visualizing, and extracting insights from this data. It primarily serves developers and organizations in the technology industry. It was founded in 2017 and is based in San Francisco, California.",https://www.linkedin.com/company/axiomhq/,15000000,60.0,60.0,3.45%,9.09%,17.65%,81.82%,"San Francisco, CA","548 Market Street, San Francisco, CA 94104, USA",2016.0,Investor Backed,,"Adam Wiggins,Crane Venture Partners,Fly Ventures,LocalGlobe,Mango Capital,Nat Friedman",,Early Stage Funding,7890000.0,2020-08-26,14890000.0,3.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,contact@axiom.co,,,Neil,Patel,CEO / Co-founder,neil@axiom.co,Deliverable,https://www.linkedin.com/in/njpatel/,"Neil Jagdish Patel (CEO / Co-founder), Seif Lotfy (CTO / Co-founder)",,,Killian Bubrosky,2024-06-15T12:51:14.000+0000,,,
https://search.grata.com/search?c=MX2XZH6Q,MX2XZH6Q,b12.io,B12,"Generate a polished new website in seconds. B12's AI-powered platform provides everything you need to look professional, engage clients, and thrive online, including scheduling, payments, and email marketing. Use built-in AI to instantly draft web pages, blog posts, and emails. Launch for free today or upgrade to work with design experts and unlock additional tools.",https://www.linkedin.com/company/b12io/,9000000,61.0,62.0,0,3.33%,8.77%,1.64%,"New York, NY","89 5th Avenue, Brooklyn, NY 10003, USA",2015.0,Investor Backed,,"Breyer Capital,Founder Collective,Founders First,General Catalyst,Greg Brockman,Naval Ravikant,Paul Sagan,SV Angel,Tola Capital",,Late Stage Funding,15700000.0,2020-03-19,28100000.0,2.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,Financial Software,hello@b12.io,,,Nitesh,Banta,"Co-Founder, Chief Executive Officer & Board Member",nitesh@b12.io,Deliverable,https://www.linkedin.com/in/nbanta/,"Nitesh Banta (Co-Founder, Chief Executive Officer & Board Member), Adam Marcus (Co-Founder & Chief Technology Officer, Board Member)",,,,,,,6.0
https://search.grata.com/search?c=RZTEX9HH,RZTEX9HH,baseten.co,Baseten,"Baseten focuses on providing infrastructure for deploying and serving machine learning models within various industries. Its services include AI model deployment, machine learning infrastructure, and model serving. Baseten's offerings cater to the needs of companies scaling inference in production. It was founded in 2019 and is based in San Francisco, California.",https://www.linkedin.com/company/baseten/,,41.0,41.0,,,,,,,2019.0,Investor Backed,,"AI Fund,Alana Anderson,base case capital,BoxGroup,Caffeinated Capital,Cristina Cordova,Dev Ittycheria,DJ Patil,Dylan Field,Greg Brockman,Greylock Partners,Institutional Venture Partners,Jay Simons,Jean-Denis Greze,K5 Global Technology,Lachy Groom,Mustafa Suleyman,Pascal Levy-Garboua,Peter Skomoroch,Ray Tonsing,Sandy Kory,South Park Commons,Spark Capital",,Late Stage Funding,40000000.0,2024-03-04,60000000.0,4.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,,,,,Tuhin,Srivastava,"Co-Founder, Chief Executive Officer & Board Member",,Unknown,,"Tuhin Srivastava (Co-Founder, Chief Executive Officer & Board Member), Amir Haghighat (Co-Founder, Chief Technology Officer & Technical Director)",,,,,,,5.0
https://search.grata.com/search?c=ULKNJQS7,ULKNJQS7,binarydefense.com,Binary Defense,"Founded in 2014 by the industry’s top cybersecurity experts, Binary Defense is on a mission to change the security industry for the better and help organizations defend against threats of all kinds. We believe that the best defense against cyber threats uses a human-driven, technology-assisted approach. We protect businesses of all sizes through our advanced cybersecurity solutions including Managed Detection and Response, Threat Hunting, Digital Risk Protection, Incident Response, Phishing Response, and Analysis on Demand. Binary Defense was spawned from the need for better monitoring and detection capabilities in companies. The founder of Binary Defense, David Kennedy, also founded TrustedSec which specializes in information security services including penetration testing.",https://www.linkedin.com/company/binary-defense/,16000000,221.0,220.0,0.92%,7.84%,22.22%,41.03%,"Stow, OH","600 Alpha Parkway, Stow, OH 44224, USA",2014.0,Investor Backed,,Invictus Growth Partners,,Early Stage Funding,36000000.0,2022-11-02,36000000.0,1.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,,1-330-777-4300,,Bob,Meindl,Chief Executive Officer,bob.meindl@binarydefense.com,Deliverable,https://www.linkedin.com/in/bob-meindl-570245,"Bob Meindl (Chief Executive Officer), David Kennedy (Co-Founder, Chief Hacking Officer and Chief Technology Officer)",,,Allison Forlenza,2024-07-10T03:01:57.000+0000,,,5.0
https://search.grata.com/search?c=6JHDJPQX,6JHDJPQX,blackcloak.io,Blackcloak,"BlackCloak is the pioneer of Digital Executive Protection, providing online privacy protection, personal device security, home network security, and incident response to corporate leaders (C-Suite, Board, executives, etc.) in their personal lives; as well as to high-profile, ultra/high-net-worth and Family Offices. Our award-winning SaaS-based Concierge Cybersecurity & Privacy Platform protects companies from cyberattacks originating in an executives' personal life from moving laterally into the organization(s) that they serve, while also protecting uniquely at-risk individuals and their families from targeted cyberattacks, financial fraud, identity theft, reputation damage, and other digital threats to personal privacy and security.",https://www.linkedin.com/company/blackcloak/,16000000,58.0,58.0,-1.69%,5.45%,18.37%,48.72%,"Orlando, FL","32801, Orlando, FL, USA",2018.0,Investor Backed,,"DataTribe,TDF Ventures,TechOperators",,Early Stage Funding,11000000.0,2021-07-29,12900000.0,2.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,,,,Chris,Pierson,Founder & CEO,chris@blackcloak.io,Potentially Deliverable,https://www.linkedin.com/in/drchristopherpierson/,Chris Pierson (Founder & CEO),,,Carson Bliss,2024-07-13T22:53:22.000+0000,,2024-04-22,
https://search.grata.com/search?c=U65PQ9UG,U65PQ9UG,bloombase.com,Bloombase,"Bloombase is the intelligent storage firewall company providing application-transparent, high-bandwidth, low-latency encryption security of data-at-rest using post-quantum cryptography (PQC) technologies from edge computing, physical and virtual datacenters, through hyper-converged infrastructure (HCI) and composable disaggregated infrastructure (CDI), and to the cloud, enabling organizations to secure their digital crown-jewels, mitigate data breach threats, and help meet information privacy regulatory compliance mandates easily and cost-effectively.",https://www.linkedin.com/company/bloombase/,3000000,18.0,18.0,0,0,0,-5.26%,"Redwood City, CA","1300 Island Drive, Redwood City, CA 94065, USA",2012.0,Bootstrapped,,,,No Funding,,,,0.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,,,,Sean,Xiang,"Co-Founder, CEO",sean.xiang@bloombase.com,Deliverable,https://www.linkedin.com/in/seanxiang/,"Sean Xiang (Co-Founder, CEO)",,,,,,,6.0
https://search.grata.com/search?c=VS5DY23E,VS5DY23E,blubracket.com,BluBracket,"BluBracket is an app code scan platform that checks for security and integrity issues. BluBracket secures today’s most valuable and vulnerable enterprise asset—code. Founded by security veterans and backed by leaders in venture capital, BluBracket is the first comprehensive enterprise security solution for code in a software-driven world. Companies using BluBracket will be able to discover and secure their code environments while maintaining the innovation and speed they need to compete. BluBracket delivers security at the speed of code.",https://www.linkedin.com/company/blubracket/,,3.0,4.0,-20.00%,-33.33%,-33.33%,-66.67%,"Palo Alto, CA","941 Emerson Street, Palo Alto, CA 94301, USA",2019.0,Public Subsidiary,HashiCorp,"Evolution Equity Partners,Firebolt Ventures,HashiCorp,Point72 Ventures,SignalFire,Unusual Ventures",HashiCorp,Public,,,,,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,info@blubracket.com,1-650-537-2100,,Prakash,Linga,Co-Founder & Chief Executive Officer,prakash@blubracket.com,Deliverable,https://www.linkedin.com/in/prakashlinga/,"Prakash Linga (Co-Founder & Chief Executive Officer), Ajay Arora (Co-Founder, President, Chief Operating Officer & Board Member)",,,Max Mandell,2024-07-13T22:50:42.000+0000,,2022-12-27,
https://search.grata.com/search?c=8YVYZYER,8YVYZYER,blumira.com,Blumira,"Blumira offers a cloud-based cybersecurity solution that streamlines threat detection and enables disruption of threats. Its platform specializes in identifying and detecting malware, data leakage, and cyber and ransomware attacks, providing security against it. The company was founded in 2018 and is based in Ann Arbor, Michigan.",https://www.linkedin.com/company/blumira/,7000000,73.0,73.0,0,7.35%,14.06%,35.19%,"Ann Arbor, MI","Ann Arbor, MI 48104, USA",2018.0,Investor Backed,,"Array Ventures,HPA,Jon Oberheide,M25,Mercury Fund,RPS Ventures,Ten Eleven Ventures",,Late Stage Funding,15000000.0,2023-06-07,27900000.0,3.0,Software,51 Information,513 Publishing Industries,5132 Software Publishers,51321 Software Publishers,513210 Software Publishers,IT Security and Privacy Software,info@blumira.com,1-877-258-6472,,Jim,Simpson,"VP of Product, Chief Executive Officer",jsimpson@blumira.com,Deliverable,https://www.linkedin.com/in/gngrwsbi/,"Jim Simpson (VP of Product, Chief Executive Officer), Steve Fuller (Co-Founder, Chief Strategy Officer & Board Member)",,,Carson Bliss,2024-07-13T22:54:20.000+0000,,2022-09-27,8.0
